start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1779067680,1779067740,2026-05-18T01:28:00+00:00,2026-05-18T01:29:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067740,1779067800,2026-05-18T01:29:00+00:00,2026-05-18T01:30:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067800,1779067860,2026-05-18T01:30:00+00:00,2026-05-18T01:31:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067860,1779067920,2026-05-18T01:31:00+00:00,2026-05-18T01:32:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067920,1779067980,2026-05-18T01:32:00+00:00,2026-05-18T01:33:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067980,1779068040,2026-05-18T01:33:00+00:00,2026-05-18T01:34:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068040,1779068100,2026-05-18T01:34:00+00:00,2026-05-18T01:35:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068100,1779068160,2026-05-18T01:35:00+00:00,2026-05-18T01:36:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068160,1779068220,2026-05-18T01:36:00+00:00,2026-05-18T01:37:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068220,1779068280,2026-05-18T01:37:00+00:00,2026-05-18T01:38:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068280,1779068340,2026-05-18T01:38:00+00:00,2026-05-18T01:39:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068340,1779068400,2026-05-18T01:39:00+00:00,2026-05-18T01:40:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068400,1779068460,2026-05-18T01:40:00+00:00,2026-05-18T01:41:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068460,1779068520,2026-05-18T01:41:00+00:00,2026-05-18T01:42:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068520,1779068580,2026-05-18T01:42:00+00:00,2026-05-18T01:43:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068580,1779068640,2026-05-18T01:43:00+00:00,2026-05-18T01:44:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068640,1779068700,2026-05-18T01:44:00+00:00,2026-05-18T01:45:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068700,1779068760,2026-05-18T01:45:00+00:00,2026-05-18T01:46:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068760,1779068820,2026-05-18T01:46:00+00:00,2026-05-18T01:47:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068820,1779068880,2026-05-18T01:47:00+00:00,2026-05-18T01:48:00+00:00,,,,,,,,,,,,,,,,,,,,
1779068880,1779068940,2026-05-18T01:48:00+00:00,2026-05-18T01:49:00+00:00,,,,,,,,,,,,,,,,,,,,
